text,line,length,shot
"a short slower delivery on middle, worked away with soft hands to deep midwicket. A bad throw to the keeper",Middle Stump,Short,Unknown
"short delivery outside off, Thisara slaps the ball to mid-off for a run. Looking to go over mid-off",Outside Off,Short,Unknown
"short delivery outside off, comes back in, dabbed to gully",Outside Off,Short,Unknown
"a short slower delivery. Jarvis looking to elicit a pull, swatted to deep midwicket",Unknown,Short,Pull
"a shortish slower delivery outside off, carved to point.",Outside Off,Unknown,Unknown
"whee, in the wheelhouse and outta here. A slower ball on middle and leg, Thisara backs away and slogs the ball over midwicket. What power. A match-winning hit?",Middle Stump,Unknown,Loft/Smash
"full on leg, pushed to long-on",Unknown,Full,Unknown
"a shortish delivery outside off, a thick outside edge down to third man. What was that? Gets away with it.",Outside Off,Unknown,Unknown
"Thisara has holed out to deep midwicket! A massive moment in the game. A low full toss around off, Thisara clears his front leg and looks to heave the ball, but he toe-ends it away, without great timing. The ball is below the waist. Just met the ball a tad early.",Unknown,Full,Unknown
"full delivery outside off, driven to long-on",Outside Off,Full,Drive
"122 kph, a slower delivery outside off, driven to cover with the full face",Outside Off,Full,Drive
"thick outside edge off Cremer, full delivery outside off, the legbreak",Outside Off,Full,Unknown
"flat and wide outside off, Cremer very cleverly shortens the length, dabbed, or at least tries to dab the ball, misses",Outside Off,Unknown,Unknown
"short and wide outside off, the googly, pulled back to the bowler. Pressure",Outside Off,Short,Pull
"82 kph, a low full toss down leg, worked away to long-on. 14 required.",Down Leg,Full,Unknown
"the googly. Cremer is ensuring the ball isn't full, so that batsmen can't get underneath that. On off, defended",Off Stump,Full,Defend
"87 kph, full on middle and leg, driven to long-on",Middle Stump,Full,Drive
"and Zimbabwe take the game! A slower short delivery outside off, Chameera is completely deceived by the lack of pace, meets the ball too early and the ball lobs to point. Sensational game goes to Cremer and Zimbabwe. It was a clever change in pace, with the batsmen expecting the ball full and straight, but it was an offcutter that flummoxed Chameera, forcing him to make contact much earlier than he expected. Sri Lanka's dismal ODI record in the last few months continues.",Outside Off,Full,Unknown
"on the channel just outside off stump first up, shoulders his arms after covering the off-stump line with his big stride forward. Nice carry through to the captain",Outside Off,Unknown,Unknown
full on off stump but angling across the right-hander's body once more. Guptill happy to shoulder his arms once again,Off Stump,Full,Unknown
"good length on middle stump, defended off the back foot towards the off side. Opens the bat's face as he taps this down with soft hands",Middle Stump,Good Length,Defend
"good length on middle stump, blocked off the back foot once again. Munro wants the single, but Guptill says 'no'",Middle Stump,Good Length,Defend
"full on the off-stump line once again, Guptill lets it go",Unknown,Full,Unknown
good length on off stump and going through to Sarfraz. Guptill chooses to shoulder his arms once more to see the first over out. <b>Maiden over</b>,Off Stump,Good Length,Unknown
"full on off stump and Munro tries to muscle this towards mid on, takes a leading edge, but falls just short of wide mid off. First runs, but not convincing at all. Tried to push at it, and the bat turned in his hand. Lucky to survive",Off Stump,Full,Unknown
full outside off stump and carries through comfortably to Sarfraz. Guptill lets it go once again,Outside Off,Full,Unknown
"full on middle stump, driven along the ground to mid on. Slight shape, back into the right hander, forcing the batsman to adjust late with his footwork",Middle Stump,Full,Drive
"<b>threads the gap!</b> Full on off stump and it's driven extravagantly past cover. Just beats the man at mid off as well, as both infielders give it a chase. Stopped just inside the boundary",Off Stump,Full,Drive
"overpitched full outside off and late inswing into the left hander, Munro misses the drive as the ball zips under his bat. Excellent ball. Just misses off stump",Outside Off,Full,Drive
full outside off and it's punched late off the back foot. Beats the diving cover-fielder,Outside Off,Full,Unknown
"ooo, nice bounce off the deck! Short on middle and flies over Guptill's head. The umpire thinks it's a legal delivery",Middle Stump,Short,Unknown
"waist-high full toss outside off stump this time, slipped out of Amir's hand on this occasion. Guptill can't put it away, as he hits it back to Amir. Surprised the batsman",Outside Off,Full,Unknown
"good length on middle stump, stays deep in his crease and nudges this off his hips towards the leg side for a quick single",Middle Stump,Good Length,Unknown
"full on off stump, tucked off his hips past midwicket with ease, calls early for the second run",Off Stump,Full,Unknown
back of a length outside off and it's punched off the back foot with authority! Just enough room for the batsman to carve this between cover and point. The fielders lose the chase,Outside Off,Short,Unknown
"good length on off stump, tries to tuck this towards the leg side but it comes off the bat's inside edge. Trickles past the square-leg umpire",Off Stump,Good Length,Unknown
good length on off stump and zipping straight through. Guptill stays careful in covering his off-stump before shouldering his arms,Off Stump,Good Length,Unknown
full outside off and it's smacked over the bowler's head! <b>Flat six!</b> Crashes into the sightscreen. Walked down the wicket and played it with the straight bat,Outside Off,Full,Unknown
"drops his length this time. Good length on middle and leg, defended off the back foot",Middle Stump,Good Length,Defend
<b>just misses off stump!</b> Full on off stump and Guptill prods forward before getting his arms out of the way. Not too far from top of off stump,Off Stump,Full,Unknown
"back of a length on middle stump, jams this into the ground as the ball dribbles away past second slip",Middle Stump,Short,Unknown
"full and wide outside off, Munro slaps this away from his body, but straight to Malik at mid off. Misses out on a loose ball",Outside Off,Full,Unknown
"good length on middle stump, defended off the back foot with the bat's open face, tapped towards point",Middle Stump,Good Length,Defend
"goes short this time, pitches on middle stump and Guptill ducks under this rising delivery",Middle Stump,Short,Unknown
"good length on middle and off, zips straight through to Sarfraz. Guptill happy to let it go",Off Stump,Good Length,Unknown
"full on middle stump, defended off the front foot but takes the outside edge. Flies away towards point",Middle Stump,Full,Defend
"yorker just outside off stump, dug back to the bowler. Can't get under this delivery",Outside Off,Yorker,Unknown
"good length on leg stump, goes deep into his crease and defends off the back foot. Tight over",Leg Stump,Good Length,Defend
"back of a length on off stump, pulled furiously to deep midwicket. Way too good a shot to fetch only a single",Off Stump,Short,Pull
"good length on middle stump, defended off the back foot",Middle Stump,Good Length,Defend
"full on leg stump, tapped off his pads to square leg for a quick run",Leg Stump,Full,Unknown
"good length on middle stump, slightly slower ball, nudged off the back foot behind square, they walk through for the single",Middle Stump,Good Length,Unknown
"good length on middle stump, punched off the back foot to mid off. Too close to his body to generate any power",Middle Stump,Good Length,Unknown
"good length on off stump, angling into the left-hander's body. Misses the flick as the ball hits his thigh guard",Off Stump,Good Length,Flick
good length on leg stump and that's swatted away over square leg. Drifting onto Munro's leg side and that's sent away down to the fine-leg boundary,Leg Stump,Good Length,Unknown
"full just outside off, blocked off the back foot. Firmly played back to Amir",Outside Off,Full,Defend
"back of a length outside off, stays deep in his crease as he punches this off the back foot. Straight to cover",Outside Off,Short,Unknown
"short outside off, pushed off the back foot with the square bat. Hit straight to point, but they're quick to call for the single. Misfield from point, allowing them to complete an easy single. Pressure on the fielders worked",Outside Off,Short,Loft/Smash
"full on off stump, tapped towards point for a quick run",Off Stump,Full,Unknown
"full on off stump, attempted straight drive that takes the outside edge, flies down to third man",Off Stump,Full,Drive
"full toss on off stump, punched back past Guptill, it's not timed well enough, and it's stopped by mid off's diving effort",Off Stump,Full,Unknown
"short outside off, tries to pull this towards cow corner but Munro bottom edges it into the pitch",Outside Off,Short,Pull
"good length on leg stump but drifting down the leg side, Guptill tries to flick this off his hips but misses. Brushes his leg as it goes through to the keeper. The umpire calls it a wide, and Sarfraz isn't pleased",Leg Stump,Good Length,Flick
"short outside leg stump and flies over Guptill's head. Too high, too wide",Leg Stump,Short,Unknown
"good length on leg stump, drops the pace a bit, thus making the ball stay low. Guptill can't flick this off his pads, as it hits him near his guts",Leg Stump,Good Length,Flick
